2.81,5.62
2.04,4.08
7.8,8.0
5.68,8.0
3.42,6.84
3.99,7.98
4.93,8.0
4.64,8.0
5.33,8.0
5.94,8.0
8.49,8.0
2.72,5.44
11.72,8.0
7.79,8.0
1.83,3.66
1.83,3.66
1.14,2.28
1.98,3.96
9.71,8.0
1.11,2.22
1.44,2.88
1.78,3.56
6.13,8.0
3.87,7.74
8.79,8.0
1.85,3.7
7.02,8.0
6.48,8.0
2.24,4.48
1.75,3.5
7.82,8.0
4.39,8.0
9.13,8.0
0.02,0.04
3.65,7.3
3.47,6.94
2.0,4.0
1.1,2.2
8.05,8.0
8.06,8.0
4.35,8.0
5.58,8.0
3.97,7.94
5.31,8.0
4.38,8.0
3.45,6.9
6.37,8.0
4.61,8.0
9.33,8.0
1.66,3.32
4.11,8.0
1.98,3.96
8.38,8.0
1.9,3.8
2.33,4.66
2.58,5.16
1.58,3.16
9.29,8.0
5.47,8.0
3.53,7.06
3.77,7.54
8.08,8.0
0.8,1.6
4.71,8.0
1.76,3.52
5.26,8.0
0.13,0.26
2.16,4.32
0.0,0.0
0.14,0.28
5.96,8.0
9.69,8.0
6.65,8.0
1.99,3.98
5.5,8.0
3.97,7.94
5.39,8.0
9.2,8.0
7.37,8.0
6.39,8.0
